review_id,Review,rating,vệ sinh_label,đồ ăn thức uống_label,khách sạn_label,vị trí_label,phòng ốc_label,dịch vụ_label
1000248102,khách_sạn hơi cũ và một_số khu_vực trong phòng_không được sạch_sẽ lắm nhìn_chung kỳ nghỉ sẽ dễ_chịu hơn nếu không có quá nhiều gián mà chúng_tôi nhìn thấy cả trong phòng tắm và phòng ngủ tuy_nhiên nhân_viên rất thân_thiện và giúp_đỡ chúng_tôi trong khả_năng cho_phép,6.0,2,0,0,0,2,1
1000306121,máy_lạnh không hoạt_động và tôi phải yêu_cầu lễ_tân nhiều lần trước khi được đổi sang phòng tốt hơn,5.0,0,0,0,0,2,2
1000332215,mọi thứ đều tốt nhưng xung_quanh không có gì quá hấp_dẫn tuy_nhiên nhân_viên và dịch_vụ rất thân_thiện phòng sạch_sẽ và môi_trường của khách_sạn rất tuyệt chúng_tôi rất thích,9.0,1,0,1,0,0,1
1000344363,tôi đã có một kỳ nghỉ tuyệt_vời tại khách_sạn nơi ăn nhân_viên rất thân_thiện và hữu_ích và phòng_ốc sạch_sẽ và thoải_mái vị_trí thì thuận_tiện và gần các quán cà_phê nhà hàg và bãi biển nói_chung đó là một trải_nghiệm thư_giãn và thú_vị chắc_chắn tôi sẽ ở đây nữa,9.0,1,0,1,1,1,1
1000352226,gần trung_tâm dễ_dàng di_chuyển đến các điểm gần biển đi bộ tiện,9.0,0,0,0,1,0,0
1000358635,ở đây cũng ổn không tệ với giá_cả thì hợp_lý tôi hài_lòng,10.0,0,0,1,0,0,0
1000360084,mặc_dù cách xa trung_tâm thành_phố nhưng cơ_sở vật_chất trong khu nghỉ_dưỡng rất sạch_sẽ và yên_tĩnh và gần biển nên rất tốt tuy_nhiên trong phòng có một_số con kiến nhỏ việc dọn_dẹp hàg ngày vào thời_gian mong_muốn là điều tốt,9.0,1,0,1,1,2,1
1000366620,nhà_nghỉ nằm ở vị_trí thuận_lợi trên một con phố yên_tĩnh ưu_điểm khăn tắm được thay hàg ngày giấy_vệ_sinh được bổ_sung và bạn được cung_cấp hai chai nước cũng có chỗ tốt để phơi quần_áo nhược_điểm không có chỗ ngồi trong phòng_không có ghế và ghế sofa quá mềm rất ít dụng_cụ nấu_ăn và phòng_không được sạch_sẽ lắm khi nhận phòng,6.0,2,0,0,1,2,0
1000396435,vị_trí rất tiện_lợi ngay kế bên cầu sông hàn di_chuyển ra biển cũng tiện mà di_chuyển đến các chỗ ăn_uống trong trung_tâm càng thuận_tiện hơn_nữa nơi giữ xe bên hông bưu_điện dễ di_chuyển thuận đường phòng sạch_sẽ gọn_gàng chị chủ rất nhiệt_tình và thân_thiện nếu có dịp quay lại mình sẽ chọn khách_sạn này làm nơi lưu_trú tiếp_tục,10.0,1,0,1,1,1,1
1000409201,xin hãy lưu_ý rằng ký_túc_xá này chỉ cung_cấp điều không_khí trong 12 giờ mỗi ngày từ 7 00 tối đến 7 00 sáng ngay cả khi vào mùa hè cao_điểm chi_tiết quan_trọng này đã không được đề_cập trên trang đặt phòng tại thời_điểm tôi thực_hiện đặt chỗ điều mà tôi cảm_thấy là gây hiểu lầm khi tôi nêu vấn_đề nhân_viên không bật điều trừ khi tôi nhiều lần liên_hệ với nền_tảng đặt phòng để gây áp_lực ngay cả sau đó tôi thường phải gọi hơn một lần mỗi ngày để yêu_cầu bật nó lên nhân_viên tiếp_tân nói với tôi rằng quản_lý đã chỉ_đạo nhân_viên bật điều khi tôi yêu_cầu nhưng rõ_ràng điều này chỉ áp_dụng khi tôi còn ở đó một trong những sự_cố khó_chịu hơn xảy ra sau khi tôi đã phàn_nàn nhiều lần một nhân_viên một phụ_nữ lớn_tuổi bất_ngờ đẩy cửa phòng ký_túc_xá mà không gõ_cửa gây ra tiếng ồn lớn và đưa cho tôi một thẻ với một thái_độ rõ_ràng không thân_thiện mặc_dù tôi đã bình_tĩnh nói với cô ấy được dịch sang tiếng việt và phát ra loa rằng cô nên gõ_cửa nhưng cô đã phớt,4.0,0,0,0,0,2,2
1000424248,như tiêu_đề đã nói tuy khá xa trung_tâm thành_phố và có_thể hơi bất_tiện nhưng nếu bạn muốn một kỳ nghỉ riêng_tư và yên_tĩnh ở đà_nẵng thì đây là sự lựa_chọn tốt đặc_biệt dịch_vụ bữa sáng tại nhà hàg có món hàn_quốc rất ngon đúng khẩu_vị của người hàn_quốc ngoài việc hơi xa trung_tâm không có sự bất_tiện nào cả cơ_sở vật_chất có hơi cũ nhưng tạm chấp_nhận được,9.0,0,1,0,2,1,0
1000439209,tôi thực_sự rất thích,10.0,0,1,1,0,0,0
1000713127,tôi đã sử_dụng khách_sạn này chỉ để cất hành_lý của mình trước khi rời việt_nam giá_cả hợp_lý để cất hành_lý và tắm trước khi rời đi nhân_viên nam có_thể nói tiếng hàn khá lưu_loát nên rất hữu_ích cho việc_làm thủ_tục nhận phòng anh ấy cũng giúp mang vali lên,10.0,0,0,0,0,0,1
1000828704,phòng rất rộng thậm_chí còn có tủ_lạnh nhưng không được sạch_sẽ cho lắm lối vào khách_sạn trông giống như một nhà để xe hoàn_toàn không có mái che đây không phải là nơi tốt để ở và tôi sẽ không khuyên bạn nên đến đây,3.0,2,0,2,0,1,0
1000850076,dịch_vụ kém thiếu vệ_sinh,4.0,2,0,2,0,0,0
1000860612,thấy khách_sạn có hình_ảnh và view đẹp nên đặt thử ở xem thế_nào thật may_mắn đến_nơi giống như hình nội_thất siêu vip view sông hàn đồ_ăn luôn quá tuyệt_vời bể_bơi trên tầng thượng cũng đáng_giá view toàn_cảnh thành_phố đà_nẵng mình quyết_định ở thêm 3 đêm nữa rồi đi hội_an,10.0,0,1,1,0,1,0
1000932505,khách_sạn căn_hộ này tương_đương với một chỗ ở loại motel 6 sảnh chờ thì rất bừa_bộn tôi không cảm_thấy thoải_mái khi ở đó may_mắn thay tôi đã tìm được một khách_sạn tốt hơn rất nhiều,5.0,2,0,2,0,0,0
1000938438,khách_sạn nhỏ_nhắn xinh_xắn nhưng đầy_đủ dịch_vụ và tiện_nghi nhân_viên vô_cùng dễ_thương và thân_thiện có chỗ đỗ xe và bác bảo_vệ riêng địa_điểm rất gần bãi_tắm số 3 2 1 đi bộ 5p là ra,10.0,0,0,1,1,0,1
1000987953,rẻ và nhân_viên nhiệt_tình thân_thiện chỗ gần sân_bay và các quán ăn địa_phương ngon,9.0,0,0,1,1,0,1
1001100271,tôi đã yêu_cầu đổi phòng giữa đêm với nhân_viên khách_sạn nhân_viên rất nhiệt_tình giúp_đỡ tôi rất ấn_tượng và tự_hào tôi yêu người việt_nam,10.0,0,0,1,0,0,1
1001104657,giường thoải_mái có máy_lạnh nước nóng lạnh_giá chỉ dưới,7.0,0,0,0,0,1,0
1001250615,hơi xa trung_tâm nhưng kỳ nghỉ rất tuyệt_vời,9.0,0,0,1,0,0,0
1001257505,gần đó có một quánkaya giá_cả phải_chăng và ngon_miệng rất được giới trẻ địa_phương ưa_chuộng phòng kiểu căn_hộ cũng có máy_giặt rất tiện_lợi,8.0,0,1,0,1,1,0
1001314923,gần nhà_thờ con gà ngay trung_tâm thành_phố có vị_trí đẹp nhân_viên rất chu_đáo hầm gửi xe rộng_rãi phòng rất đẹp có city view rất xứng_đáng với giá tiền bỏ ra,10.0,0,0,1,1,1,1
1001371049,kỳ nghỉ thật tuyệt_vời nhân_viên thân_thiện phòng sạch_sẽ và ấm_cúng cùng bầu_không_khí yên_bình bao_trùm mọi thứ đều dễ_dàng và thoải_mái chắc_chắn sẽ quay lại,10.0,1,0,1,0,1,1
1001404168,giá_cả rất hợp_lý nhân_viên phục_vụ chu_đáo và vị_trí cũng rất thuận_lợi tôi rất khuyên bạn nên đến đây,9.0,0,0,1,1,0,1
1001430563,trước_hết vì có nhiều khách lưu_trú dài_hạn nên nói sao nhỉ cơ_hội gặp_gỡ bạn_bè nước_ngoài khá hạn_chế có một siêu_thị nhỏ ở ngã tư trước chỗ ở và đó là nơi duy_nhất trong khu_vực bán rượu và bia giá rẻ nhân_viên vô_cùng thân_thiện và dễ mến mì ý ramen buổi sáng ngon tuyệt được phép hút thuốc trên ban_công,10.0,0,1,2,0,0,1
1001456806,khách_sạn giá bình_dân phù_hợp với mọi người mọi thứ đều ổn chỉ có wifi là bất_ổn wifi khá yếu và mình phải sài 4g,9.0,0,0,2,0,0,0
