review_id,hotel_id,Review,rating,vệ sinh_label,vệ sinh_prob,đồ ăn thức uống_label,đồ ăn thức uống_prob,khách sạn_label,khách sạn_prob,vị trí_label,vị trí_prob,phòng ốc_label,phòng ốc_prob,dịch vụ_label,dịch vụ_prob,conf_mean,conf_min,keep_step2,token_count,char_count,rule_full_none,rule_all_same_pos,rule_all_same_neg,rule_text_too_short,noise_rule_hits,keep_step3,step2_source
59390226,1001042,khách_sạn san san hoàn_toàn mới chất_lượng tuyệt_vời và giá_cả phải_chăng phòng sạch_sẽ có wifi miễn_phí và nhiều kênh_truyền_hình cáp giường thoải_mái cách bãi biển 5 phút đi bộ nhân_viên thân_thiện và lễ_tân nói tiếng anh rất tốt bữa sáng có nhiều món ăn địa_phương và quốc_tế khách_sạn cũng cung_cấp giá tốt cho phòng và dịch_vụ cho thuê xe_đạp chắc_chắn sẽ ở lại khách_sạn này khi đến đà_nẵng lần nữa,10.0,1,0.897,1,0.935,1,0.9346,1,0.7017,1,0.9326,1,0.895,0.8826499999999999,0.7017,True,69,404,False,True,False,False,1,False,step2_kept
736286799,1001042,tôi đến đó sớm hơn giờ nhận phòng để gửi hành_lý nhưng nhân_viên quầy nói rằng tôi có_thể nhận phòng sớm nếu đưa cho họ 500 000 đồng tôi nói với họ rằng tôi không cần nhận phòng sớm vì dù_sao tôi cũng có kế_hoạch rồi và cứ để hành_lý lại nhưng sau đó họ lại nói với một người nước_ngoài đến ngay sau tôi rằng tôi có_thể nhận phòng sớm nếu đưa cho họ 1 000 000 đồng mọi người hãy cẩn_thận nhé,5.0,0,0.908,0,0.9233,0,0.8726,0,0.9233,0,0.846,0,0.6294,0.8504333333333335,0.6294,True,84,391,True,False,False,False,1,False,step2_kept
1070765108,1001042,tôi không thực_sự khuyên dùng nó đặc_biệt là với người hàn_quốc,3.0,0,0.9,0,0.868,0,0.8374,0,0.92,0,0.897,0,0.9214,0.8906333333333333,0.8374,True,11,63,True,False,False,False,1,False,step2_kept
781257341,10537076,nên đặt phòng từ hạng deluxe trở lên nhé,10.0,0,0.916,0,0.9175,0,0.888,0,0.9233,0,0.84,0,0.921,0.9009666666666668,0.84,True,9,40,True,False,False,False,1,False,step2_kept
945085341,10537076,1 vị_trí khách_sạn không có cơ_sở_hạ_tầng xung_quanh và nằm rất xa bãi biển miami nên mất khoảng 20 phút đi taxi mặc_dù nằm trong khu nghỉ_dưỡng gần đó vị_trí của khách_sạn này gần như ở cấp địa_phương,4.0,0,0.935,0,0.931,0,0.759,0,0.679,0,0.928,0,0.925,0.8595,0.679,True,37,201,True,False,False,False,1,False,step2_kept
752645886,10901788,hình_ảnh mang tính_chất minh không đúng với hình_ảnh,5.0,0,0.896,0,0.8745,0,0.767,0,0.908,0,0.9,0,0.9297,0.8792,0.767,True,8,52,True,False,False,False,1,False,step2_kept
702246622,10901788,kiểm_tra đủ nước trước khi vào phòng,9.0,0,0.8657,0,0.9194,0,0.8623,0,0.9287,0,0.8594,0,0.9175,0.8921666666666667,0.8594,True,7,36,True,False,False,False,1,False,step2_kept
248245744,10901788,khách_sạn có vị_trí thuận_lợi cách biển 5 phút đi bộ gần trung_tâm thành_phố có nhiều nhà hàg mini_mart gần khách_sạn phòng sạch_sẽ cửa_sổ rộng thoáng ăn sáng chất_lượng nhân_viên rất thân_thiện chuyên_nghiệp luôn vui_vẻ hỏi_thăm khách và sắp_xếp xe tiễn sân_bay đúng giờ theo yêu_cầu của mình giá phòng mùa thấp_điểm nên khá là rẻ sẽ giới_thiệu cho người quen và quay lại đây khi có dịp,10.0,1,0.831,1,0.908,1,0.9014,1,0.876,1,0.921,1,0.8945,0.8886499999999998,0.831,True,67,387,False,True,False,False,1,False,step2_kept
1021906075,10901788,đặt phòng qua agoda rẻ hơn so với đặt trực_tiếp với khách_sạn,10.0,0,0.928,0,0.931,0,0.751,0,0.93,0,0.8926,0,0.9033,0.8893166666666666,0.751,True,12,61,True,False,False,False,1,False,step2_kept
933068551,10901788,tôi không_thể ngủ ngon_giấc vào ban_ngày vì nhân_viên bảo_trì đang sửa_chữa ở tầng của tôi,6.0,0,0.8945,0,0.9126,0,0.864,0,0.931,0,0.9033,0,0.7534,0.8764666666666666,0.7534,True,15,90,True,False,False,False,1,False,step2_kept
