review_id,Review,rating,vệ sinh_label,đồ ăn thức uống_label,khách sạn_label,vị trí_label,phòng ốc_label,dịch vụ_label
834149749,phòng nhỏ gia_đình mình check out sớm để lại vali ở phòng nhân_viên báo gọi không được và thu thêm 500k tiền phí check out trễ khách_sạn không có bể_bơi mà không báo trước tiền,5.0,0,0,2,0,2,2
344704376,vợ_chồng tôi ở đây một đêm trước khi đi hội_an nhưng quả_thật nơi này là một trong những điểm nhấn tuyệt_vời nhất của chuyến đi căn_hộ studio sạch_sẽ và ấm_cúng với chủ nhà và nhân_viên cực_kỳ nhiệt_tình kiến_trúc và không_gian bên trong nhà cũng rất tuyệt_vời ước gì chúng_tôi có_thể ở lại lâu hơn một_chút,10.0,1,0,1,0,1,1
920704244,dịch_vụ tốt nha em ơi,10.0,0,0,1,0,0,0
646347967,chỗ này oai lắm nhé gần biển đi ra có 5 mình là thôi mà phòng sạch_sẽ,8.0,1,0,0,1,0,0
920709757,rất thoải_mái và nhân_viên tuyệt_vời,10.0,0,0,1,0,0,1
777230268,tôi đến lúc rạng sáng và nhân_viên rất thân_thiện và dễ mến có một giường riêng và rất tuyệt so với giá_cả,10.0,0,0,1,0,1,1
791424731,mình thuê 5 phòng tại khách_sạn vị_trí thuận_tiện gần biển bé nhí lễ_tân rất nhiệt_tình vui_vẻ hướng_dẫn các địa_chỉ vui_chơi và ăn_uống phòng rất sạch_sẽ giá rẻ mình sẽ giới_thiệu cho bạn_bè và quay lại khách_sạn nếu tới lần chơi tiếp,10.0,1,0,1,1,0,1
10758777,khách_sạn sạch_sẽ nhân_viên nhiệt_tình giá phải_chăng,6.0,1,0,1,0,0,1
848499382,vị_trí tốt còn đường chính đi ra biển thuận_tiện khám_phá và du_lịch đà_nẵng,10.0,0,0,0,1,0,0
1002155008,khách_sạn tệ nhất và nhân_viên tệ nhất đây là trải_nghiệm khách_sạn tồi_tệ nhất trong toàn_bộ chuyến đi của chúng_tôi qua 4 thành_phố và 5 6 khách_sạn nhân_viên trực đêm cực_kỳ thô_lỗ và hoàn_toàn không giúp_đỡ gì cả phòng bẩn nhà_vệ_sinh bẩn_thỉu và không có bất_kỳ tiện_nghi cơ_bản nào tệ hơn_nữa chúng_tôi không nhận được bất_kỳ sự trợ_giúp nào với hành_lý của mình không bao_giờ khuyên ai nên ở đây,2.0,2,0,2,0,2,2
607942381,khách_sạn này tốt tôi khuyên bạn nên đến vị_trí thuận_tiện nhân_viên lễ_tân thân_thiện luôn tươi_cười và chào_đón bạn họ rất hữu_ích và chu_đáo cung_cấp dịch_vụ tuyệt_vời mà không hề thô_lỗ hay thiếu tôn_trọng tôi thực_sự rất thích,10.0,0,0,1,1,0,1
960282406,khách_sạn tuyệt_vời vị_trí thuận_lợi cả cho bãi biển và bờ sông phòng rộng_rãi đẹp với vòi_sen hiện_đại tivi và tủ_lạnh bể_bơi và ghế nằm trên sân_thượng cũng rất tuyệt,10.0,0,0,1,1,1,0
657492015,chỗ nghỉ có vị_trí thuận_lợi và giá_cả phải_chăng nhân_viên thân_thiện,8.0,0,0,1,1,0,1
870125040,tôi tiếc vì chỉ ở lại khu nghỉ_dưỡng nửa ngày vì tôi đã thuê xe và dành cả ngày đi tham_quan vào ngày cuối_cùng chúng_tôi dành buổi sáng vui_chơi ở hồ bơi và bãi biển thật tuyệt_vời lần sau nếu gia_đình tôi đến tôi muốn ở một nơi riêng_tư hơn,8.0,0,0,1,0,0,0
766496772,trong khi thiết_kế phòng khách_sạn hiện_đại không đạt tiêu_chuẩn quốc_tế phòng tắm có vòi_sen bằng kính thì trơn trượt nhưng không có tay_vịn một người phải đi 6 feet trong tình_trạng ướt và không mặc gì để lấy khăn tắm một bức tường của vòi_sen bằng kính và phải kéo rèm che để đảm_bảo sự riêng_tư khi chúng_tôi đến không có tủ_lạnh mini hay an_ninh nào khiến chúng_tôi phải chờ một giờ chúng_tôi đã đặt taxi đến sân_bay vào đêm trước nhưng sáng hôm sau lễ_tân không được biết về việc này may_mắn thay chúng_tôi đã kiểm_tra sớm trước khi trả phòng lựa_chọn thực_phẩm và dịch_vụ thân_thiện với khách hàg và chuyên_nghiệp nhất là tại bữa sáng bao_gồm một_chút đào_tạo có_thể khắc_phục các vấn_đề ở lễ_tân và tình_trạng phòng sẵn_sàng,7.0,2,1,2,0,2,1
708523578,khách_sạn sạch_sẽ và nhân_viên rất thân_thiện trời đột_nhiên đổ mưa khi tôi đang làm thủ_tục trả phòng nhưng grab đã đưa ô cho tôi và giúp tôi chất hành_lý lên xe,10.0,1,0,0,0,0,1
676446051,nó rẻ và đẹp tuy_nhiên việc đi_lại hơi bất_tiện vì không có thang_máy,8.0,0,0,1,0,0,0
